ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,Region,Security_Type,Status,ZipCode
89936,2019,cf,Female,pre,type1,p1,l1,nopc,nob/c,356500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,-3720.0,EQUI,824,EXP,35-44,not_inst,south,direct,yes,75009
37510,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,226500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3840.0,CIB,874,CIB,35-44,to_inst,south,direct,no,18829
35029,2019,cf,Female,nopre,type2,p4,l1,nopc,b/c,166500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CIB,875,CIB,65-74,to_inst,North,direct,no ,98128
78075,2019,ncf,Joint,nopre,type1,p4,l1,nopc,nob/c,796500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,18300.0,EXP,898,EXP,25-34,not_inst,south,direct,Yes,44389
57447,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,466500,360.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,4800.0,CRIF,760,EXP,25-34,not_inst,North,direct,no,40863
107147,2019,ncf,Female,nopre,type1,p4,l1,nopc,nob/c,606500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8520.0,CRIF,528,CIB,35-44,not_inst,North,direct,no,76597
69619,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5940.0,CIB,782,EXP,25-34,to_inst,south,direct,no ,37412
37488,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,226500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4560.0,CRIF,720,CIB,25-34,to_inst,North,direct,no ,77965
60543,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,246500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5640.0,EXP,859,EXP,45-54,not_inst,south,direct,no,45490
80737,2019,cf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,156500,180.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,7680.0,EQUI,595,EXP,45-54,not_inst,south,direct,yes,93278
98662,2019,,Joint,nopre,type1,p4,l1,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3180.0,EXP,714,EXP,55-64,not_inst,south,direct,no ,52250
73354,2019,cf,Female,nopre,type2,p2,l1,nopc,b/c,36500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,1200.0,EQUI,900,EXP,>74,to_inst,North,direct,yes,40997
98362,2019,ncf,Female,nopre,type1,p3,l1,nopc,nob/c,176500,324.0,neg_amm,not_int,not_lpsm,sb,ir,home,1U,9600.0,CIB,750,EXP,45-54,to_inst,North,direct,no ,96416
66923,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,496500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,6300.0,CIB,659,EXP,55-64,not_inst,south,direct,no,89844
54701,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,216500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7800.0,EXP,603,EXP,65-74,to_inst,North,direct,no,36926
78987,2019,cf,Joint,nopre,type3,p3,l1,nopc,nob/c,206500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,1740.0,EQUI,506,EXP,>74,to_inst,North,direct,yes,76975
26298,2019,cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,236500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4080.0,CRIF,504,CIB,55-64,to_inst,south,direct,no ,93270
109584,2019,cf,Female,pre,type2,p3,l1,nopc,b/c,106500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,1140.0,CRIF,854,CIB,55-64,to_inst,North,direct,no ,50365
38196,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,116500,300.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,1200.0,EQUI,516,EXP,45-54,to_inst,North,direct,Yes,91791
73703,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,316500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4500.0,CIB,605,CIB,35-44,not_inst,North,direct,no ,69460
29667,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,356500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3840.0,EXP,557,CIB,35-44,to_inst,south,direct,no ,23813
68943,2019,cf,Joint,pre,type1,p4,l1,nopc,nob/c,236500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,9240.0,CIB,824,EXP,55-64,to_inst,North,direct,no ,71901
59531,2019,ncf,Male,pre,type2,p3,l1,nopc,b/c,326500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10320.0,CIB,601,EXP,55-64,to_inst,North,direct,no,88335
36748,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,296500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,9960.0,CRIF,840,EXP,25-34,to_inst,south,direct,no ,66592
29151,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,426500,360.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,9780.0,EQUI,636,EXP,35-44,not_inst,south,direct,yes,51377
59202,2019,ncf,Joint,pre,type3,p4,l1,nopc,nob/c,286500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CIB,638,EXP,>74,not_inst,North,direct,no ,37264
123738,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,7260.0,CRIF,658,EXP,55-64,not_inst,North,direct,no,52678
35479,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,116500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2340.0,CIB,555,EXP,65-74,to_inst,south,direct,yes,90345
104089,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4380.0,CRIF,592,CIB,55-64,to_inst,North,direct,no,16889
64927,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,376500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,4740.0,CIB,636,CIB,35-44,not_inst,North,direct,no,81227
26091,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,716500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,13140.0,EQUI,628,EXP,35-44,not_inst,south,direct,yes,38368
40235,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,296500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4380.0,CIB,639,CIB,55-64,to_inst,south,direct,Yes,18703
46219,2019,ncf,Joint,pre,type1,p1,l1,nopc,nob/c,436500,360.0,not_neg,not_int,not_lpsm,sb,sr,home,1U,10260.0,EXP,637,EXP,35-44,not_inst,North,direct,no,63706
97885,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,216500,168.0,not_neg,not_int,lpsm,sb,pr,home,1U,3240.0,EXP,590,CIB,35-44,to_inst,North,direct,no ,72894
43725,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,166500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2280.0,CIB,555,CIB,35-44,to_inst,central,direct,no,27519
