,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,random
0,13300000,7420.0,4,2,3,yes,no,no,no,yes,2,yes,furnished,0.2814650217983241
1,12250000,8960.0,4,4,4,yes,no,no,no,yes,3,no,furnished,0.6823039429895003
2,12250000,9960.0,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,0.03313429358725761
3,12215000,7500.0,4,2,2,,no,yes,no,yes,3,yes,furnished,0.9282304735223461
4,11410000,7420.0,4,1,2,yes,yes,yes,no,yes,2,no,furnished,0.47803326731717244
5,10850000,7500.0,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,0.5985708091618822
6,10150000,8580.0,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,0.9194198052104996
7,10150000,,5,3,2,yes,no,no,no,no,0,no,unfurnished,0.5293147367610669
8,9870000,8100.0,4,1,2,,yes,yes,no,yes,2,yes,furnished,0.013311082255723528
9,9800000,5750.0,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,0.1410125465678117
10,9800000,13200.0,3,1,2,yes,no,yes,no,yes,2,yes,furnished,0.1412309764132582
11,9681000,6000.0,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,0.7193697104311979
12,9310000,6550.0,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,0.2778490709329686
13,9240000,3500.0,4,2,2,yes,no,no,yes,no,2,no,furnished,0.5920540654574095
14,9240000,7800.0,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,0.6605742549490522
15,9100000,6000.0,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,0.1678545990568865
16,9100000,6600.0,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,0.8997384845281464
17,8960000,8500.0,3,2,4,yes,no,no,no,yes,2,no,furnished,0.08677917769080601
18,8890000,4600.0,3,2,2,yes,yes,no,no,yes,2,no,furnished,0.2789989393266804
19,8855000,6420.0,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,0.06373171205830108
20,8750000,4320.0,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,0.5625019495199457
21,8680000,7155.0,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,0.4699318317449477
22,8645000,8050.0,3,1,1,yes,yes,yes,no,yes,1,no,furnished,0.9796258406728934
23,8645000,4560.0,3,2,2,yes,yes,yes,no,yes,1,no,furnished,0.18731475244862716
24,8575000,8800.0,3,2,2,yes,no,no,no,yes,2,no,furnised,0.7274828236423677
25,8540000,6540.0,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,0.46008895509572345
26,8463000,6000.0,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,0.26069393250415374
27,8400000,8875.0,3,1,1,yes,no,no,no,no,1,no,semi-furnished,0.06308715983633739
28,8400000,7950.0,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,0.01629412941367059
29,8400000,5500.0,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,0.6539353001248255
30,8400000,7475.0,3,2,4,yes,no,no,no,yes,2,no,unfurnished,0.1754868340528083
31,8400000,7000.0,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,0.4071015365623687
32,8295000,4880.0,4,2,2,yes,no,no,no,yes,1,yes,furnished,0.30379335297187204
33,8190000,5960.0,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,0.2887251079455294
34,8120000,6840.0,5,1,2,yes,yes,yes,no,yes,1,no,furnished,0.030544997426718568
35,8080940,7000.0,3,2,4,yes,no,no,no,yes,2,no,furnished,0.7166186866145743
36,8043000,7482.0,3,2,3,yes,no,no,yes,no,1,yes,furnished,0.9768149439974195
37,7980000,9000.0,4,2,4,yes,no,no,no,yes,2,no,furnished,0.5470047647360058
38,7962500,6000.0,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,0.11688208951712731
